date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
2023-07-23,95.5,72.7,0.0,10.5,51,ARL02
2023-07-24,100.9,77.1,0.0,13.8,43,ARL02
2023-07-25,102.8,80.8,0.0,13.5,41,ARL02
2023-07-26,101.2,81.3,0.0,12.2,42,ARL02
2023-07-27,100.7,81.3,0.0,12.6,39,ARL02
2023-07-28,100.8,81.7,0.0,9.4,39,ARL02
2023-07-29,100.8,81.5,0.0,8.7,38,ARL02
2023-07-30,102.2,81.1,0.0,6.7,35,ARL02
2023-07-31,104.8,82.3,0.0,10.3,36,ARL02
2023-08-01,106.0,83.3,0.0,11.1,38,ARL02
2023-08-02,105.7,87.1,0.0,12.3,35,ARL02
2023-08-03,105.5,84.7,0.0,14.2,35,ARL02
2023-08-04,104.7,84.5,0.0,14.2,39,ARL02
2023-08-05,105.2,85.8,0.0,13.7,38,ARL02
2023-08-06,104.4,85.7,0.0,13.7,38,ARL02
2023-08-07,103.4,84.7,0.0,15.7,43,ARL02
2023-08-08,101.8,82.9,0.114,16.5,45,ARL02
2023-08-09,106.2,83.6,0.0,17.9,43,ARL02
2023-08-10,107.3,85.4,0.0,16.2,43,ARL02
2023-08-11,107.2,84.6,0.0,16.0,41,ARL02
2023-08-12,107.6,82.1,0.0,17.6,42,ARL02
2023-08-13,106.4,82.7,0.0,15.6,42,ARL02
2023-08-14,100.5,84.0,0.0,15.9,42,ARL02
2023-08-15,94.1,77.4,0.0,13.0,36,ARL02
2023-08-16,94.7,72.3,0.0,9.2,40,ARL02
2023-08-17,107.7,77.0,0.0,9.3,31,ARL02
2023-08-18,107.9,85.4,0.0,9.6,29,ARL02
2023-08-19,106.1,85.2,0.0,13.6,31,ARL02
2023-08-20,106.1,82.8,0.0,14.6,36,ARL02
2023-08-21,104.1,83.0,0.012,12.2,41,ARL02
2023-08-22,102.8,84.1,0.0,11.9,42,ARL02
2023-08-23,102.8,83.3,0.0,9.0,43,ARL02
2023-08-24,103.5,86.2,0.0,7.0,38,ARL02
2023-08-25,106.7,85.4,0.0,15.6,36,ARL02
2023-08-26,106.2,88.3,0.0,8.2,31,ARL02
2023-08-27,94.6,79.7,0.146,12.6,56,ARL02
2023-08-28,93.2,78.2,0.0,14.0,51,ARL02
2023-08-29,96.3,76.5,0.0,11.1,46,ARL02
2023-08-30,98.1,77.2,0.0,12.8,39,ARL02
2023-08-31,95.8,75.0,0.0,9.2,42,ARL02
2023-06-30,98.6,79.6,0.0,13.4,53,ARL03
2023-07-01,93.0,78.1,0.0,14.1,57,ARL03
2023-07-02,89.7,73.6,0.598,12.1,72,ARL03
2023-07-03,95.6,76.6,0.106,16.8,62,ARL03
2023-07-04,94.8,74.7,0.11,16.5,68,ARL03
2023-07-05,95.5,79.8,0.028,11.7,61,ARL03
